Group,B,PB,QB,Diet,MusselExtraction,EstuarineTrap,EstuarineShrimp Fishery,Gillnet,Longline
Guiana Dolphin,6,4,4,5,6,6,6,6,6
Cormorants,5,6,4,5,,,,,
Piscivorous seabirds,5,6,4,5,,,,,
Piscivorous seabirds II,5,6,4,5,,,,,
Benthos Birds,5,6,5,5,,,,,
Turtle,3,3,3,5,,,,,
Anchovy and Sardines,1,4,4,5,6,6,6,6,6
SPF,1,1,4,5,,,,,
MPF,4,4,4,5,6,6,6,6,6
LFP,4,4,4,5,6,6,6,6,6
Snooks,4,4,4,5,6,6,6,6,6
Pampo and Grunt,1,4,4,5,6,6,6,6,6
Omnivores,1,4,4,5,6,6,6,6,6
Mugelids,1,4,4,5,6,6,6,6,6
LRF,4,4,4,5,6,6,6,6,6
GRF,4,4,4,5,6,6,6,6,6
Pufferfishes,5,4,4,5,6,6,6,6,6
Skate and Rays,5,4,4,5,6,6,6,6,6
Hake - Small,5,4,4,5,6,6,6,6,6
Hake- Medium and Large,4,4,4,5,6,6,6,6,6
Croakers,4,4,4,5,6,6,6,6,6
Flatfishes,4,4,4,5,6,6,6,6,6
Catfishes,5,1,4,5,6,6,6,6,6
GDF,5,4,4,5,6,6,6,6,6
SMCF,1,4,4,5,5,5,5,5,5
Crabs,1,7,3,3,6,6,6,6,6
Shrimp,1,7,3,3,6,6,6,6,6
Others Crustaceans,1,5,3,3,,,,,
Infauna,1,5,3,3,,,,,
Gastropods,1,5,3,3,,,,,
Mussel,1,5,3,3,6,6,6,6,6
Equinoderms,1,5,3,3,,,,,
Sessile Fauna,1,5,3,3,,,,,
Jellyfish,1,1,3,5,,,,,
Zooplankton,4,5,3,4,,,,,
Macroalgae,1,,,,,,,,
Seagrass,1,,,,,,,,
Phytopankton,4,8,,,,,,,
Detritus,4,,,,,,,,
