Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,DetFate,MusselExtraction,EstuarineTrap,EstuarineShrimp Fishery,Gillnet,Longline,MusselExtraction.disc,EstuarineTrap.disc,EstuarineShrimpFishery.disc,Gillnet.disc,Longline.disc
Guiana Dolphin,0,218,0.13,15.36,,,0,0.2,,1,0,0,0,0,0,0,0,0,0.0013,0
Cormorants,0,42,0.25,65,,,0,0.2,,1,0,0,0,0,0,0,0,0,0,0
Piscivorous seabirds,0,37,0.25,72,,,0,0.2,,1,0,0,0,0,0,0,0,0,0,0
Piscivorous seabirds II,0,4,0.25,67,,,0,0.2,,1,0,0,0,0,0,0,0,0,0,0
Benthos Birds,0,2,0.25,69,,,0,0.2,,1,0,0,0,0,0,0,0,0,0,0
Turtle,0,,0.15,2.54,0.3,,0,0.2,,1,0,0,0,0,0,0,0,0,15,0
Anchovy and Sardines,0,,2.3,15,0.9500005,,0,0.3,,1,0,0,0,0.0003,0,0,0,0,0,0
SPF,0,,1.61,14,0.95,,0,0.2,,1,0,0,0,0,0,0,0,0,7,0
MPF,0,0.31,0.69,7.5,,,0,0.2,,1,0,0,0,0.0087,0,0,0,0,0,0
LFP,0,0.02,0.69,4.9,,,0,0.2,,1,0,0,0,0.0041,0,0,0,0,0,0
Snooks,0,0.04,0.71,6.68,,,0,0.2,,1,0,0,0,7,0,0,0,0,0,0
Pampo and Grunt,0,,1.14,7.7,0.9499999,,0,0.2,,1,0,0,0,6,0,0,0,0,0,0
Omnivores,0,,1.62,11.14,0.9499999,,0,0.2,,1,0,0,0,11,0.0005,0,0,0,0,0
Mugelids,0,,1.6,16,0.95,,0,0.2,,1,0,0,0,31,0,0,0,0,0,0
LRF,0,0.05,0.41,5,,,0,0.2,,1,0,0,0,0.0005,0.0013,0,0,0,0,0
GRF,0,,0.51,5.48,0.95,,0,0.2,,1,0,0,0,0,0,0,0,0,0.0016,0
Pufferfishes,0,0.35,2.02,9.35,,,0,0.2,,1,0,58,0,0.0016,3,0,0,0,0,0
Skate and Rays,0,0.09,1.59,6.61,,,0,0.2,,1,0,0,0,0.0021,0.0045,0,0,0,0.0082,0
Hake - Small,0,,1.02,8.92,0.95,,0,0.2,,1,0,0,0,0.0184,0.0004,0,0,0,0,0
Hake- Medium and Large,0,0.12,0.7,4.92,,,0,0.2,,1,0,0,0,0.02212,0.00036,0,0,0,0,0
Croakers,0,,1,8.36,0.95,,0,0.2,,1,0,0,0,0.0221,0.0004,0,0,0,0,0
Flatfishes,0,0.07,0.42,4.16,,,0,0.2,,1,0,0,0,0.0088,0.0001,0,0,0,0,0
Catfishes,0,1.38,0.5,14,,,0,0.2,,1,0,0,0,0.0222,0.0169,0,0,0,0.0033,0
GDF,0,,1.05,10.24,0.9500002,,0,0.2,,1,0,0,0,0.0023,0.0001,0,0,0,0.0082,0
SMCF,0,,1.58,35,0.9500001,,0,0.2,,1,0,0,0,0,0,0,0,0,0.0008,0
Crabs,0,,3,10,0.9499999,,0,0.2,,1,0,118,0,0,0,0,0,0,1,0
Shrimp,0,,6,26.9,0.95,,0,0.2,,1,0,0,0.02,0,0,0,0,0,0,0
Others Crustaceans,0,,3.3,31,0.9500003,,0,0.2,,1,0,0,0,0,0,0,0,0,0,0
Infauna,0,,60,350,0.95,,0,0.2,,1,0,0,0,0,0,0,0,0,0,0
Gastropods,0,,12,19,0.95,,0,0.2,,1,0,0,0,0,0,0,0,0,0,0
Mussel,0,,55,400,0.9499999,,0,0.3,,1,0.0729,0,0,0,0,0,0,0,0,0
Equinoderms,0,,0.7,5,0.95,,0,0.3,,1,0,0,0,0,0,0,0,0,0,0
Sessile Fauna,0,,2.3,22,0.95,,0,0.3,,1,0,0,0,0,0,0,0,0,0,0
Jellyfish,0,,5,25,0.95,,0,0.3,,1,0,0,0,0,0,0,0,0,0,0
Zooplankton,0,3,90,200,,,0,0.4,,1,0,0,0,0,0,0,0,0,0,0
Macroalgae,1,,15,,0.95,,0,0.2,,1,0,0,0,0,0,0,0,0,0,0
Seagrass,1,,8,,0.95,,0,0,,1,0,0,0,0,0,0,0,0,0,0
Phytopankton,1,12,300,,,,0,0,,1,0,0,0,0,0,0,0,0,0,0
Detritus,2,16,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mussel extraction,3,,,,,,,,,,,,,,,,,,,
Estuarine Trap,3,,,,,,,,,,,,,,,,,,,
Estuarine Shrimp Fishery,3,,,,,,,,,,,,,,,,,,,
Gillnet,3,,,,,,,,,,,,,,,,,,,
Longline,3,,,,,,,,,,,,,,,,,,,
