,Filo,Classe,Ordem,Família ,Gênero,Espécie,Ewe grop,Ponto,Área,Município,Dia,Mês,Ano,Data,Massa(g),Largura Cefalotoracica (mm),Sexo,Estágio,Estação,Salinidade,Gradiente Salino,Temperatura,Tipo de Maré
1,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,6,Ilha da Cotinga,Paranaguá,18,3,2014,18/03/2014,"9,23",53,,a,Verao,,Polihalino,,Sizigia
2,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,6,Ilha da Cotinga,Paranaguá,18,3,2014,18/03/2014,"4,61",42,,a,Verao,,Polihalino,,Sizigia
3,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,6,Ilha da Cotinga,Paranaguá,18,3,2014,18/03/2014,"2,74",35,,a,Verao,,Polihalino,,Sizigia
4,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,6,Ilha da Cotinga,Paranaguá,18,3,2014,18/03/2014,"3,58",41,,a,Verao,,Polihalino,,Sizigia
5,Mollusca,Cephalopoda,Myopsida,Loliginidae,Lolliguncula,Lolliguncula (Lolliguncula) brevis,Cefalopodes,6,Ilha da Cotinga,Paranaguá,18,3,2014,18/03/2014,"2,64",35,,a,Verao,,Polihalino,,Sizigia
6,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,6,Ilha da Cotinga,Paranaguá,18,3,2014,18/03/2014,"50,86","95,5",fo,a,Verao,,Polihalino,,Sizigia
7,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,6,Ilha da Cotinga,Paranaguá,18,3,2014,18/03/2014,"4,47","48,76",m,j,Verao,,Polihalino,,Sizigia
8,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,2,Antonina,Antonina,18,3,2014,18/03/2014,"33,22",94,f,a,Verao,,Mesohalino,,Sizigia
9,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,Callinectes danae,26. Blue crabs,2,Antonina,Antonina,18,3,2014,18/03/2014,"7,48","62,24",m,j,Verao,,Mesohalino,,Sizigia
10,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten,Astropecten marginatus,32. Echinoderms,5,Ilha das Cobras,Paranaguá,18,3,2014,18/03/2014,"9,29",,,,Verao,,Polihalino,,Sizigia
