,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
1,"Guiana Dolphin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Cormorants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,"Piscivorous seabirds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,"Piscivorous seabirds II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,"Benthos Birds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,"Anchovy and Sardines",0.3336816,0.1360143,0.4226502,0.1283922,0,0,0,0,0.3119203,0.4274481,0.1352938,0,0,0,0.06047402,0.01347033,0,0,0.09111926,0.2763919,0.03066943,0.4478583,0.01396634,0.08452533,0,0,0,0,0,0,0,0,0,0,0,
8,SPF,0.1472125,0.06809331,0.09645385,0.01074066,0,0,0,0,0.05571652,0.1840814,0.04509792,0,0,0,0,0,0,0,0,0.01063046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,MPF,0.03923585,0.01279137,0,0,0,0,0,0,0.0111433,0.08690514,0,0,0,0,0.00131064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,LFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Snooks,0,0,0,0,0,0,0,0,0,0.005460194,0.006764689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,"Pampo and Grunt",0,0.02269777,0,0,0,0,0,0,0,0,0.02027105,0,0,0,0.02349772,0,0,0.01101758,0,0.01063046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,Omnivores,0.04746402,0,0,0,0,0,0,0,0.01033742,0.03510597,0.02254896,0,0,0,0.00131064,0,0,0.006030913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,Mugelids,0.3262762,0.1273721,0.08453004,0.0751846,0,0,0,0,0.02539952,0,0.02254896,0,0,0,0.020158,0,0,0,0,0.02126092,0,0.02745509,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,LRF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,GRF,0,0,0,0,0,0,0,0,0.01146992,0.04602036,0.06764689,0,0,0,0.04490751,0.02098988,0,0.03326052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,Pufferfishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01123732,0,0,0.0149354,0,0.00106766,0,0,0,0,0,0,0,0,0,0,0,0,
18,"Skate and Rays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06833478,0,0,0.02441702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,"Hake - Small",0.02140959,0.04533811,0.08453004,0,0,0,0,0,0.02539952,0.02141253,0.05613052,0,0,0,0.00131064,0,0,0.04434736,0.004500627,0.03233775,0.01022314,0.1279595,0.02673264,0.005990268,0,0,0,0,0,0,0,0,0,0,0,
20,"Hake- Medium and Large",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,Croakers,0.07851332,0.01157928,0,0,0,0,0,0,0,0.03085813,0.03382345,0,0,0,0.00142253,0,0,0.01341156,0,0.01362897,0,0.02132659,0,0.005990268,0,0,0,0,0,0,0,0,0,0,0,
22,Flatfishes,0,0.003630809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006705781,0,0.01063046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,Catfishes,0,0.1369053,0,0.007308291,0,0,0,0,0.01731683,0,0.02818621,0,0,0,0.07094409,0,0,0.03326052,0,0,0,0,0.007292341,0,0,0,0,0,0,0,0,0,0,0,0,
24,GDF,0.006206891,0.1360143,0.2430239,0,0,0,0,0,0.01793384,0,0.09019585,0.0198326,0,0,0.06749609,0,0,0.1330421,0.027274,0.1063046,0.03066943,0.1066329,0.05346528,0.01082517,0,0,0,0,0,0,0,0,0,0,0,
25,SMCF,0,0,0,0,0,0,0,0,0.005438089,0,0.02254896,0.009916301,0,0,0.00131064,0,0,0.0554342,0,0,0.01540478,0.03198988,0.01494719,0.01208613,0,0,0,0,0,0,0,0,0,0,0,
