,"Group name","Mussel extraction (t/km²/year)","Estuarine Trap (t/km²/year)","Estuarine Shrimp Fishery (t/km²/year)","Gillnet (t/km²/year)","Longline (t/km²/year)",Total,
1,"Guiana Dolphin",0,0,0,0,0,0,
2,Cormorants,0,0,0,0,0,0,
3,"Piscivorous seabirds",0,0,0,0,0,0,
4,"Piscivorous seabirds II",0,0,0,0,0,0,
5,"Benthos Birds",0,0,0,0,0,0,
6,Turtle,0,0,0,0,0,0,
7,"Anchovy and Sardines",0,0,0,0.0003,0,0.0003,
8,SPF,0,0,0,0,0,0,
9,MPF,0,0,0,0.0087,0,0.0087,
10,LFP,0,0,0,0.0041,0,0.0041,
11,Snooks,0,0,0,0.007,0,0.007,
12,"Pampo and Grunt",0,0,0,0.006,0,0.006,
13,Omnivores,0,0,0,0.011,0.0005,0.0115,
14,Mugelids,0,0,0,0.031,0,0.031,
15,LRF,0,0,0,0.0005,0.0013,0.0018,
16,GRF,0,0,0,0,0,0,
17,Pufferfishes,0,0.058,0,0.0016,0.003,0.0626,
18,"Skate and Rays",0,0,0,0.0021,0.0045,0.0066,
19,"Hake - Small",0,0,0,0.0184,0.0004,0.0188,
20,"Hake- Medium and Large",0,0,0,0.02212,0.00036,0.02248,
21,Croakers,0,0,0,0.0221,0.0004,0.0225,
22,Flatfishes,0,0,0,0.0088,0.0001,0.0089,
23,Catfishes,0,0,0,0.0222,0.0169,0.0391,
24,GDF,0,0,0,0.0023,0.0001,0.0024,
25,SMCF,0,0,0,0,0,0,
26,Crabs,0,0.118,0,0,0,0.118,
27,Shrimp,0,0,0.02,0,0,0.02,
28,"Others Crustaceans",0,0,0,0,0,0,
29,Infauna,0,0,0,0,0,0,
30,Gastropods,0,0,0,0,0,0,
31,Mussel,0.0729,0,0,0,0,0.0729,
32,Equinoderms,0,0,0,0,0,0,
33,"Sessile Fauna",0,0,0,0,0,0,
34,Jellyfish,0,0,0,0,0,0,
35,Zooplankton,0,0,0,0,0,0,
36,Macroalgae,0,0,0,0,0,0,
37,Seagrass,0,0,0,0,0,0,
38,Phytopankton,0,0,0,0,0,0,
39,Detritus,0,0,0,0,0,0,
40,Sum,0.0729,0.176,0.02,0.16822,0.02756,0.46468,
