,"Group name","Shadow price (BRL/biomass)",
1,"Guiana Dolphin",0,
2,Cormorants,0,
3,"Piscivorous seabirds",0,
4,"Piscivorous seabirds II",0,
5,"Benthos Birds",0,
6,Turtle,0,
7,"Anchovy and Sardines",0,
8,SPF,0,
9,MPF,0,
10,LFP,0,
11,Snooks,0,
12,"Pampo and Grunt",0,
13,Omnivores,0,
14,Mugelids,0,
15,LRF,0,
16,GRF,0,
17,Pufferfishes,0,
18,"Skate and Rays",0,
19,"Hake - Small",0,
20,"Hake- Medium and Large",0,
21,Croakers,0,
22,Flatfishes,0,
23,Catfishes,0,
24,GDF,0,
25,SMCF,0,
26,Crabs,0,
27,Shrimp,0,
28,"Others Crustaceans",0,
29,Infauna,0,
30,Gastropods,0,
31,Mussel,0,
32,Equinoderms,0,
33,"Sessile Fauna",0,
34,Jellyfish,0,
35,Zooplankton,0,
36,Macroalgae,0,
37,Seagrass,0,
38,Phytopankton,0,
39,Detritus,0,
