,"Group name","Mussel extraction (BRL/biomass)","Estuarine Trap (BRL/biomass)","Estuarine Shrimp Fishery (BRL/biomass)","Gillnet (BRL/biomass)","Longline (BRL/biomass)",
1,"Guiana Dolphin",,,,,,
2,Cormorants,,,,,,
3,"Piscivorous seabirds",,,,,,
4,"Piscivorous seabirds II",,,,,,
5,"Benthos Birds",,,,,,
6,Turtle,,,,,,
7,"Anchovy and Sardines",,,,2.5,,
8,SPF,,,,,,
9,MPF,,,,12,,
10,LFP,,,,17,,
11,Snooks,,,,1,,
12,"Pampo and Grunt",,,,5.41,,
13,Omnivores,,,,3.55,1,
14,Mugelids,,,,6.5,,
15,LRF,,,,18,18,
16,GRF,,,,,,
17,Pufferfishes,,7,,7,1,
18,"Skate and Rays",,,,3.5,3.5,
19,"Hake - Small",,,,6.56,7.3,
20,"Hake- Medium and Large",,,,14,13,
21,Croakers,,,,5.5,5.5,
22,Flatfishes,,,,13,1,
23,Catfishes,,,,5.04,5.2,
24,GDF,,,,3.07,1,
25,SMCF,,,,,,
26,Crabs,,3.5,,,,
27,Shrimp,,,15,,,
28,"Others Crustaceans",,,,,,
29,Infauna,,,,,,
30,Gastropods,,,,,,
31,Mussel,77,,,,,
32,Equinoderms,,,,,,
33,"Sessile Fauna",,,,,,
34,Jellyfish,,,,,,
35,Zooplankton,,,,,,
36,Macroalgae,,,,,,
37,Seagrass,,,,,,
38,Phytopankton,,,,,,
39,Detritus,,,,,,
